rok,miejscowość,data,pm25_dobowe
2019,Katowice,2019-09-16,10.995349166666665
2019,Katowice,2019-09-17,10.161185
2019,Katowice,2019-09-18,7.576404583333333
2019,Katowice,2019-09-19,12.01006125
2019,Katowice,2019-09-20,16.001201249999998
2019,Katowice,2019-09-21,18.396952083333332
2019,Katowice,2019-09-22,17.124315833333334
2019,Katowice,2019-09-23,22.33122625
2019,Katowice,2019-09-24,29.487883333333333
2019,Katowice,2019-09-25,32.0658875
2019,Katowice,2019-09-26,17.441895833333334
2019,Katowice,2019-09-27,17.20282625
2019,Katowice,2019-09-28,10.280331666666667
2019,Katowice,2019-09-29,6.095736666666667
2019,Katowice,2019-09-30,5.196389583333334
2019,Katowice,2019-10-01,6.253879166666667
2019,Katowice,2019-10-02,9.91133
2019,Katowice,2019-10-03,12.276700833333335
2019,Katowice,2019-10-04,15.129369583333334
2019,Katowice,2019-10-05,13.686392916666668
2019,Katowice,2019-10-06,21.04027041666667
2019,Katowice,2019-10-07,23.097104166666668
2019,Katowice,2019-10-08,29.331016666666667
2019,Katowice,2019-10-09,15.971333333333334
2019,Katowice,2019-10-10,8.817876666666667
2019,Katowice,2019-10-11,7.172117916666667
2019,Katowice,2019-10-12,
2019,Katowice,2019-10-13,
2019,Katowice,2019-10-14,
2019,Katowice,2019-10-15,
2019,Katowice,2019-10-16,
2019,Katowice,2019-10-17,
2019,Katowice,2019-10-18,
2019,Katowice,2019-10-19,
2019,Katowice,2019-10-20,
2019,Katowice,2019-10-21,
2019,Katowice,2019-10-22,
2019,Katowice,2019-10-23,
2019,Katowice,2019-10-24,
2019,Katowice,2019-10-25,
2019,Katowice,2019-10-26,
2019,Katowice,2019-10-27,
2019,Katowice,2019-10-28,
2019,Katowice,2019-10-29,
2019,Katowice,2019-10-30,
2019,Katowice,2019-10-31,
2019,Katowice,2019-11-01,
2019,Katowice,2019-11-02,
2019,Katowice,2019-11-03,
2019,Katowice,2019-11-04,9.785931000000001
2019,Katowice,2019-11-05,21.811744347826085
2019,Katowice,2019-11-06,27.918748333333337
2019,Katowice,2019-11-07,40.2474
2019,Katowice,2019-11-08,35.4117475
2019,Katowice,2019-11-09,22.445199583333334
2019,Katowice,2019-11-10,29.9757125
2019,Katowice,2019-11-11,28.3918125
2019,Katowice,2019-11-12,42.80003333333334
2019,Katowice,2019-11-13,39.31351875
2019,Katowice,2019-11-14,20.906829166666665
2019,Katowice,2019-11-15,27.328904166666664
2019,Katowice,2019-11-16,20.141881739130437
2019,Katowice,2019-11-17,37.21335125
2019,Katowice,2019-11-18,25.634525
2019,Katowice,2019-11-19,27.537888749999997
2019,Katowice,2019-11-20,41.792454166666666
2019,Katowice,2019-11-21,29.919120833333334
2019,Katowice,2019-11-22,29.942091666666666
2019,Katowice,2019-11-23,38.40510833333333
2019,Katowice,2019-11-24,31.4858875
2019,Katowice,2019-11-25,47.1655625
2019,Katowice,2019-11-26,44.35211666666667
2019,Katowice,2019-11-27,38.93069166666667
2019,Katowice,2019-11-28,20.672258333333335
2019,Katowice,2019-11-29,7.875959583333334
2019,Katowice,2019-11-30,24.888212499999998
2019,Katowice,2019-12-01,39.91022875
2019,Katowice,2019-12-02,34.3791625
2019,Katowice,2019-12-03,27.037858333333332
2019,Katowice,2019-12-04,25.089512499999998
2019,Katowice,2019-12-05,24.4608375
2019,Katowice,2019-12-06,19.697837500000002
2019,Katowice,2019-12-07,17.53869166666667
2019,Katowice,2019-12-08,11.230343333333332
2019,Katowice,2019-12-09,17.98186375
2019,Katowice,2019-12-10,25.79929375
2019,Katowice,2019-12-11,58.30582916666666
2019,Katowice,2019-12-12,69.7004125
